ID	Verbo	Valencia
39146	empezar	Absoluto
56132	empezar	Absoluto
50041	empezar	Absoluto
68931	empezar	Absoluto
50027	empezar	Absoluto
50064	empezar	Absoluto
24014	empezar	Absoluto
5478	empezar	Absoluto
46863	empezar	Absoluto
47753	empezar	Absoluto
57779	empezar	Absoluto
54729	empezar	Absoluto
35512	empezar	Absoluto
40355	empezar	Absoluto
77678	empezar	Absoluto
11112	empezar	Absoluto
89553	empezar	Absoluto
13170	empezar	Absoluto
41640	empezar	Absoluto
96332	empezar	Absoluto
20962	empezar	Absoluto
53810	empezar	Absoluto
13358	enfriar	Absoluto
9735	enfriar	Absoluto
3218	enfriar	Absoluto
17095	enfriar	Absoluto
15255	enfriar	Absoluto
7503	enfriar	Absoluto
16294	enfriar	Absoluto
13329	enfriar	Absoluto
8933	enfriar	Absoluto
30503	enganchar	Absoluto
20043	enganchar	Absoluto
18312	enganchar	Absoluto
15453	enganchar	Absoluto
6144	enganchar	Absoluto
18314	enganchar	Absoluto
22779	enganchar	Absoluto
28799	enganchar	Absoluto
21703	enganchar	Absoluto
30033	enganchar	Absoluto
26137	enganchar	Absoluto
15243	enganchar	Absoluto
17155	enganchar	Absoluto
11666	enganchar	Absoluto
1772	enganchar	Absoluto
19920	enganchar	Absoluto
17461	enganchar	Absoluto
6050	enganchar	Absoluto
32964	enganchar	Absoluto
5171	enganchar	Absoluto
20440	enganchar	Absoluto
12374	enganchar	Absoluto
5531	engordar	Absoluto
1888	engordar	Absoluto
4282	engordar	Absoluto
12059	engordar	Absoluto
5939	engordar	Absoluto
13347	engordar	Absoluto
12591	engordar	Absoluto
6708	engordar	Absoluto
388	engordar	Absoluto
10338	engordar	Absoluto
4509	engordar	Absoluto
7341	engordar	Absoluto
7539	engordar	Absoluto
8761	engordar	Absoluto
12922	engordar	Absoluto
13593	engordar	Absoluto
12541	engordar	Absoluto
5749	engordar	Absoluto
13240	engordar	Absoluto
8069	engordar	Absoluto
12199	engordar	Absoluto
4368	engordar	Absoluto
10170	engordar	Absoluto
10027	engordar	Absoluto
7902	engordar	Absoluto
5203	engordar	Absoluto
10497	engordar	Absoluto
4631	engordar	Absoluto
4374	engordar	Absoluto
5354	engordar	Absoluto
8366	engordar	Absoluto
6613	engordar	Absoluto
7384	engordar	Absoluto
13988	enseñar	Absoluto
51096	enseñar	Absoluto
46353	enseñar	Absoluto
34097	enseñar	Absoluto
33844	enseñar	Absoluto
64508	enseñar	Absoluto
70077	enseñar	Absoluto
23822	enseñar	Absoluto
14839	enseñar	Absoluto
91154	enseñar	Absoluto
86549	enseñar	Absoluto
99295	enseñar	Absoluto
50411	enseñar	Absoluto
71685	enseñar	Absoluto
23653	enseñar	Absoluto
70443	enseñar	Absoluto
44831	enseñar	Absoluto
2476	escurrir	Absoluto
10180	escurrir	Absoluto
6370	escurrir	Absoluto
4877	escurrir	Absoluto
3226	escurrir	Absoluto
9557	escurrir	Absoluto
5835	escurrir	Absoluto
8511	escurrir	Absoluto
179	escurrir	Absoluto
3902	escurrir	Absoluto
10	escurrir	Absoluto
62	escurrir	Absoluto
9402	escurrir	Absoluto
9678	escurrir	Absoluto
7754	escurrir	Absoluto
9456	escurrir	Absoluto
1461	escurrir	Absoluto
1077	escurrir	Absoluto
11153	escurrir	Absoluto
17734	estropear	Absoluto
76521	hacer	Absoluto
90290	hacer	Absoluto
13917	hervir	Absoluto
1159	hervir	Absoluto
13604	hervir	Absoluto
5699	hervir	Absoluto
6355	hervir	Absoluto
15574	hervir	Absoluto
1692	hervir	Absoluto
12782	hervir	Absoluto
13084	hervir	Absoluto
7136	hervir	Absoluto
12351	hervir	Absoluto
8417	hinchar	Absoluto
5924	hinchar	Absoluto
7765	joder	Absoluto
14085	joder	Absoluto
51084	joder	Absoluto
34779	joder	Absoluto
33050	joder	Absoluto
45623	joder	Absoluto
15150	joder	Absoluto
27907	joder	Absoluto
50611	joder	Absoluto
44876	levantar	Absoluto
25879	llamar	Absoluto
19411	llamar	Absoluto
87348	llamar	Absoluto
46085	llamar	Absoluto
21089	llenar	Absoluto
52267	llenar	Absoluto
12448	manchar	Absoluto
10864	manchar	Absoluto
2521	manchar	Absoluto
6808	manchar	Absoluto
7353	manchar	Absoluto
13181	manchar	Absoluto
97563	matar	Absoluto
59219	matar	Absoluto
51755	matar	Absoluto
10742	matar	Absoluto
23287	matar	Absoluto
49175	matar	Absoluto
8826	matar	Absoluto
23808	matar	Absoluto
15815	matar	Absoluto
77177	matar	Absoluto
22289	matar	Absoluto
84583	matar	Absoluto
74700	matar	Absoluto
14845	matar	Absoluto
24761	matar	Absoluto
32708	matar	Absoluto
82209	matar	Absoluto
36523	matar	Absoluto
38299	matar	Absoluto
78997	matar	Absoluto
762	matar	Absoluto
21556	meter	Absoluto
5858	meter	Absoluto
61220	meter	Absoluto
19170	mojar	Absoluto
8909	mojar	Absoluto
17838	mojar	Absoluto
25463	mojar	Absoluto
9159	mojar	Absoluto
3478	mojar	Absoluto
61	mojar	Absoluto
20228	mojar	Absoluto
10635	mojar	Absoluto
11249	mover	Absoluto
56741	mover	Absoluto
67026	olvidar	Absoluto
62307	olvidar	Absoluto
79	orear	Absoluto
548	orear	Absoluto
84230	parar	Absoluto
29417	pegar	Absoluto
55521	pegar	Absoluto
57983	pegar	Absoluto
45802	pegar	Absoluto
59838	pegar	Absoluto
87591	pegar	Absoluto
12218	pegar	Absoluto
30839	pegar	Absoluto
12639	pegar	Absoluto
84726	pegar	Absoluto
81132	pegar	Absoluto
46520	pegar	Absoluto
14047	pegar	Absoluto
49749	pegar	Absoluto
96194	pegar	Absoluto
86699	pegar	Absoluto
7730	pegar	Absoluto
45914	pegar	Absoluto
41476	pegar	Absoluto
73301	pegar	Absoluto
57858	pegar	Absoluto
46423	perder	Absoluto
99892	perder	Absoluto
63962	perder	Absoluto
34934	perder	Absoluto
77709	perder	Absoluto
88675	perder	Absoluto
211	perder	Absoluto
69687	perder	Absoluto
40752	perder	Absoluto
52410	perder	Absoluto
79109	perder	Absoluto
79906	perder	Absoluto
919	poner	Absoluto
7003	poner	Absoluto
4843	prender	Absoluto
36082	presentar	Absoluto
18470	quemar	Absoluto
24672	quemar	Absoluto
30579	quemar	Absoluto
2406	quemar	Absoluto
6588	quemar	Absoluto
75162	quitar	Absoluto
15566	retirar	Absoluto
74163	retirar	Absoluto
37659	retirar	Absoluto
78113	romper	Absoluto
88100	romper	Absoluto
86688	romper	Absoluto
50873	romper	Absoluto
360	romper	Absoluto
26154	romper	Absoluto
70573	romper	Absoluto
61582	romper	Absoluto
37488	romper	Absoluto
10782	romper	Absoluto
59602	romper	Absoluto
14778	secar	Absoluto
3105	secar	Absoluto
6368	secar	Absoluto
14208	secar	Absoluto
11956	secar	Absoluto
10209	secar	Absoluto
18594	secar	Absoluto
9266	secar	Absoluto
42082	soltar	Absoluto
18793	soltar	Absoluto
33300	soltar	Absoluto
21293	soltar	Absoluto
91665	terminar	Absoluto
29588	terminar	Absoluto
58577	terminar	Absoluto
32304	terminar	Absoluto
79266	terminar	Absoluto
33259	terminar	Absoluto
74055	terminar	Absoluto
33412	terminar	Absoluto
95818	terminar	Absoluto
49807	terminar	Absoluto
52775	tirar	Absoluto
2647	tirar	Absoluto
29678	tirar	Absoluto
80148	tirar	Absoluto
42488	tirar	Absoluto
999	tirar	Absoluto
99854	tirar	Absoluto
71417	tirar	Absoluto
90795	tirar	Absoluto
75102	tirar	Absoluto
5179	tirar	Absoluto
92370	tirar	Absoluto
78388	tirar	Absoluto
98479	tirar	Absoluto
37017	tirar	Absoluto
20389	tirar	Absoluto
42174	tirar	Absoluto
29184	tirar	Absoluto
7531	tirar	Absoluto
86523	tirar	Absoluto
35179	tirar	Absoluto
70373	tirar	Absoluto
31807	tirar	Absoluto
68746	tirar	Absoluto
15435	tirar	Absoluto
87354	tirar	Absoluto
32462	tirar	Absoluto
24031	tirar	Absoluto
92169	tirar	Absoluto
90845	tirar	Absoluto
50781	tirar	Absoluto
11558	tirar	Absoluto
99749	tirar	Absoluto
21927	tirar	Absoluto
439	tirar	Absoluto
71019	tirar	Absoluto
6543	tirar	Absoluto
32593	tirar	Absoluto
94405	tirar	Absoluto
33402	tirar	Absoluto
54588	tirar	Absoluto
12521	tirar	Absoluto
43817	tirar	Absoluto
13650	tumbar	Absoluto
70014	abrir	Ambigua
22437	abrir	Ambigua
82740	abrir	Ambigua
46960	abrir	Ambigua
2859	abrir	Ambigua
18728	acercar	Ambigua
50185	acercar	Ambigua
42194	apuntar	Ambigua
7754	cambiar	Ambigua
21863	cambiar	Ambigua
61224	cambiar	Ambigua
26298	cocer	Ambigua
47502	conservar	Ambigua
31099	conservar	Ambigua
52017	cortar	Ambigua
10369	criar	Ambigua
2241	cuajar	Ambigua
33297	curar	Ambigua
854	despertar	Ambigua
1471	echar a perder	Ambigua
2953	echar	Ambigua
7030	empezar	Ambigua
79212	empezar	Ambigua
50529	empezar	Ambigua
64944	encontrar	Ambigua
14286	encontrar	Ambigua
284	enfriar	Ambigua
1573	engordar	Ambigua
4151	escurrir	Ambigua
68794	mantener	Ambigua
39897	matar	Ambigua
369	orear	Ambigua
72377	pasar	Ambigua
6113	pasear	Ambigua
50753	perder	Ambigua
12746	prender	Ambigua
2398	prender	Ambigua
12259	prender	Ambigua
242	prender	Ambigua
30271	presentar	Ambigua
63149	presentar	Ambigua
38220	quemar	Ambigua
10693	quemar	Ambigua
1472	reventar	Ambigua
12321	reventar	Ambigua
4888	reventar	Ambigua
10030	reventar	Ambigua
82713	romper	Ambigua
17506	romper	Ambigua
3875	secar	Ambigua
35046	soltar	Ambigua
83915	terminar	Ambigua
94307	terminar	Ambigua
711	acabar	Auxiliar
24966	acabar	Auxiliar
56249	acabar	Auxiliar
37687	acabar	Auxiliar
49610	acabar	Auxiliar
17557	acabar	Auxiliar
99326	acabar	Auxiliar
970	acabar	Auxiliar
39229	acabar	Auxiliar
2190	acabar	Auxiliar
84632	acabar	Auxiliar
25896	acabar	Auxiliar
86183	acabar	Auxiliar
17348	acabar	Auxiliar
96349	acabar	Auxiliar
3271	acabar	Auxiliar
87083	acabar	Auxiliar
52258	acabar	Auxiliar
9617	acabar	Auxiliar
93488	acabar	Auxiliar
16202	acabar	Auxiliar
83966	acabar	Auxiliar
95198	acabar	Auxiliar
33083	acabar	Auxiliar
31241	acabar	Auxiliar
94547	acabar	Auxiliar
23412	acabar	Auxiliar
83605	acabar	Auxiliar
64294	acabar	Auxiliar
91430	acabar	Auxiliar
1209	acabar	Auxiliar
76248	acabar	Auxiliar
77634	acabar	Auxiliar
22456	acabar	Auxiliar
8158	acabar	Auxiliar
52707	acabar	Auxiliar
2214	acabar	Auxiliar
8497	acabar	Auxiliar
29497	acabar	Auxiliar
82860	acabar	Auxiliar
3459	acabar	Auxiliar
98975	acabar	Auxiliar
22350	acabar	Auxiliar
24012	acabar	Auxiliar
10644	acabar	Auxiliar
87656	acabar	Auxiliar
7492	acabar	Auxiliar
59022	acabar	Auxiliar
63483	acabar	Auxiliar
10220	acabar	Auxiliar
94233	acabar	Auxiliar
90880	acabar	Auxiliar
22873	acabar	Auxiliar
32478	acabar	Auxiliar
23426	acabar	Auxiliar
2176	acabar	Auxiliar
80293	acabar	Auxiliar
74100	acabar	Auxiliar
88950	acabar	Auxiliar
23850	acabar	Auxiliar
2125	acabar	Auxiliar
34440	acabar	Auxiliar
61307	acabar	Auxiliar
19170	acabar	Auxiliar
64838	acabar	Auxiliar
63616	acabar	Auxiliar
49742	acabar	Auxiliar
47548	acabar	Auxiliar
52459	acabar	Auxiliar
8299	acabar	Auxiliar
89640	acabar	Auxiliar
11458	acabar	Auxiliar
75201	acabar	Auxiliar
31483	acabar	Auxiliar
74211	acostumbrar	Auxiliar
23374	acostumbrar	Auxiliar
480	acostumbrar	Auxiliar
50682	acostumbrar	Auxiliar
57043	acostumbrar	Auxiliar
55010	acostumbrar	Auxiliar
41567	acostumbrar	Auxiliar
30841	acostumbrar	Auxiliar
18694	acostumbrar	Auxiliar
4319	acostumbrar	Auxiliar
41827	acostumbrar	Auxiliar
12702	acostumbrar	Auxiliar
8799	acostumbrar	Auxiliar
52059	acostumbrar	Auxiliar
58398	acostumbrar	Auxiliar
52204	acostumbrar	Auxiliar
47221	acostumbrar	Auxiliar
11463	acostumbrar	Auxiliar
49638	acostumbrar	Auxiliar
51368	acostumbrar	Auxiliar
61568	acostumbrar	Auxiliar
78587	acostumbrar	Auxiliar
14757	empezar	Auxiliar
68662	empezar	Auxiliar
65960	empezar	Auxiliar
74497	empezar	Auxiliar
41212	empezar	Auxiliar
63497	empezar	Auxiliar
27622	empezar	Auxiliar
1932	empezar	Auxiliar
24116	empezar	Auxiliar
15215	empezar	Auxiliar
92454	empezar	Auxiliar
66101	empezar	Auxiliar
74791	empezar	Auxiliar
93096	empezar	Auxiliar
42720	empezar	Auxiliar
98045	empezar	Auxiliar
85521	empezar	Auxiliar
58580	empezar	Auxiliar
6890	empezar	Auxiliar
40282	empezar	Auxiliar
32845	empezar	Auxiliar
72445	empezar	Auxiliar
95514	empezar	Auxiliar
4326	empezar	Auxiliar
16795	empezar	Auxiliar
6358	empezar	Auxiliar
55568	empezar	Auxiliar
32021	empezar	Auxiliar
58348	empezar	Auxiliar
31430	empezar	Auxiliar
89351	empezar	Auxiliar
97355	empezar	Auxiliar
53814	empezar	Auxiliar
47300	empezar	Auxiliar
57999	empezar	Auxiliar
21504	empezar	Auxiliar
44328	empezar	Auxiliar
31679	empezar	Auxiliar
54110	empezar	Auxiliar
75413	empezar	Auxiliar
77965	empezar	Auxiliar
28858	empezar	Auxiliar
39677	empezar	Auxiliar
25588	empezar	Auxiliar
54229	empezar	Auxiliar
41388	empezar	Auxiliar
12135	empezar	Auxiliar
87626	empezar	Auxiliar
65496	empezar	Auxiliar
66506	empezar	Auxiliar
53606	empezar	Auxiliar
22225	empezar	Auxiliar
95033	empezar	Auxiliar
68408	empezar	Auxiliar
89260	empezar	Auxiliar
87649	empezar	Auxiliar
25788	empezar	Auxiliar
51433	empezar	Auxiliar
40362	empezar	Auxiliar
12669	empezar	Auxiliar
93366	empezar	Auxiliar
4281	empezar	Auxiliar
35030	empezar	Auxiliar
59987	empezar	Auxiliar
54197	empezar	Auxiliar
13955	empezar	Auxiliar
56520	empezar	Auxiliar
11603	empezar	Auxiliar
5728	empezar	Auxiliar
42240	empezar	Auxiliar
29142	empezar	Auxiliar
30417	empezar	Auxiliar
36050	empezar	Auxiliar
77059	empezar	Auxiliar
89670	empezar	Auxiliar
84996	empezar	Auxiliar
64835	empezar	Auxiliar
41504	empezar	Auxiliar
12809	empezar	Auxiliar
9898	empezar	Auxiliar
11593	empezar	Auxiliar
53744	empezar	Auxiliar
76971	empezar	Auxiliar
36070	empezar	Auxiliar
54853	empezar	Auxiliar
33544	hacer	Auxiliar
41861	hacer	Auxiliar
88963	hacer	Auxiliar
36205	hacer	Auxiliar
64410	hacer	Auxiliar
9746	hacer	Auxiliar
68937	hacer	Auxiliar
20467	hacer	Auxiliar
83812	parar	Auxiliar
98786	parar	Auxiliar
76322	parar	Auxiliar
79003	parar	Auxiliar
15671	parar	Auxiliar
51867	parar	Auxiliar
89158	parar	Auxiliar
5357	parar	Auxiliar
21978	parar	Auxiliar
59812	parar	Auxiliar
79818	parar	Auxiliar
88283	parar	Auxiliar
78476	parar	Auxiliar
62575	parar	Auxiliar
22138	parar	Auxiliar
6920	parar	Auxiliar
68224	pasar	Auxiliar
44628	pasar	Auxiliar
17064	pasar	Auxiliar
18941	pasar	Auxiliar
9045	romper	Auxiliar
55776	romper	Auxiliar
91542	romper	Auxiliar
43135	terminar	Auxiliar
38855	terminar	Auxiliar
96849	terminar	Auxiliar
3808	terminar	Auxiliar
8044	terminar	Auxiliar
23895	terminar	Auxiliar
87789	terminar	Auxiliar
80751	terminar	Auxiliar
66238	terminar	Auxiliar
26103	terminar	Auxiliar
24305	terminar	Auxiliar
99703	terminar	Auxiliar
77401	terminar	Auxiliar
15295	terminar	Auxiliar
51104	terminar	Auxiliar
61772	terminar	Auxiliar
41798	terminar	Auxiliar
37468	terminar	Auxiliar
73831	terminar	Auxiliar
54899	terminar	Auxiliar
96606	terminar	Auxiliar
13518	terminar	Auxiliar
44739	terminar	Auxiliar
8330	terminar	Auxiliar
36180	terminar	Auxiliar
99964	terminar	Auxiliar
97645	terminar	Auxiliar
30065	terminar	Auxiliar
51890	terminar	Auxiliar
22592	terminar	Auxiliar
27955	terminar	Auxiliar
83470	terminar	Auxiliar
70360	terminar	Auxiliar
82575	terminar	Auxiliar
45636	terminar	Auxiliar
96153	terminar	Auxiliar
83216	terminar	Auxiliar
39002	terminar	Auxiliar
5619	terminar	Auxiliar
425	coagular	Causativo
516	coagular	Causativo
26407	criar	Causativo
7754	cuajar	Causativo
48876	desaparecer	Causativo
75413	desaparecer	Causativo
3116	desaparecer	Causativo
3650	descansar	Causativo
46788	descansar	Causativo
50614	despertar	Causativo
17145	despertar	Causativo
28428	despertar	Causativo
11800	engordar	Causativo
11284	engordar	Causativo
322	engordar	Causativo
937	engordar	Causativo
1079	engordar	Causativo
3147	fermentar	Causativo
4889	hervir	Causativo
14148	olvidar	Causativo
93201	pasar	Causativo
37296	perder	Causativo
34680	perder	Causativo
32284	poner	Causativo
4561	prender	Causativo
1664	prender	Causativo
6188	reventar	Causativo
4101	sangrar	Causativo
2570	sangrar	Causativo
6740	sangrar	Causativo
2078	secar	Causativo
1779	secar	Causativo
9350	secar	Causativo
153	secar	Causativo
3802	secar	Causativo
22900	secar	Causativo
61525	abrir	Intransitivo
74156	acabar	Intransitivo
544	acabar	Intransitivo
98279	acabar	Intransitivo
27932	acabar	Intransitivo
56002	acabar	Intransitivo
44474	acabar	Intransitivo
76306	acabar	Intransitivo
69481	acabar	Intransitivo
83867	acabar	Intransitivo
49761	acabar	Intransitivo
77170	acabar	Intransitivo
26136	acabar	Intransitivo
78451	acabar	Intransitivo
8822	acabar	Intransitivo
70078	acabar	Intransitivo
97578	acabar	Intransitivo
62965	acabar	Intransitivo
2019	acabar	Intransitivo
19933	acabar	Intransitivo
29403	acabar	Intransitivo
48290	acabar	Intransitivo
95458	acabar	Intransitivo
90049	acabar	Intransitivo
80085	acabar	Intransitivo
54576	acabar	Intransitivo
13398	acabar	Intransitivo
67094	acabar	Intransitivo
11200	acabar	Intransitivo
3443	agachar	Intransitivo
21410	calentar	Intransitivo
14051	calentar	Intransitivo
36035	calentar	Intransitivo
29716	calentar	Intransitivo
7760	calentar	Intransitivo
32015	calentar	Intransitivo
5954	calentar	Intransitivo
4475	calentar	Intransitivo
15425	calentar	Intransitivo
13688	calentar	Intransitivo
26687	calentar	Intransitivo
13325	calentar	Intransitivo
16675	cambiar	Intransitivo
23750	cambiar	Intransitivo
38073	cambiar	Intransitivo
84804	cambiar	Intransitivo
98940	cambiar	Intransitivo
1408	cambiar	Intransitivo
6523	cambiar	Intransitivo
30601	cambiar	Intransitivo
58156	cambiar	Intransitivo
33415	cambiar	Intransitivo
89098	cambiar	Intransitivo
3366	cambiar	Intransitivo
31395	cambiar	Intransitivo
48385	cambiar	Intransitivo
15743	cambiar	Intransitivo
23290	cambiar	Intransitivo
52480	cambiar	Intransitivo
59399	cambiar	Intransitivo
81229	cambiar	Intransitivo
40353	cambiar	Intransitivo
51532	cambiar	Intransitivo
47019	cambiar	Intransitivo
45466	cambiar	Intransitivo
64378	cambiar	Intransitivo
5560	cambiar	Intransitivo
26908	cambiar	Intransitivo
33832	cambiar	Intransitivo
79054	cambiar	Intransitivo
25958	cambiar	Intransitivo
47523	cambiar	Intransitivo
24601	cambiar	Intransitivo
6681	cambiar	Intransitivo
10779	cambiar	Intransitivo
5456	cambiar	Intransitivo
98321	cambiar	Intransitivo
57903	cambiar	Intransitivo
18871	cambiar	Intransitivo
70700	cambiar	Intransitivo
44014	cambiar	Intransitivo
59737	cambiar	Intransitivo
99464	cambiar	Intransitivo
21756	cambiar	Intransitivo
80015	cambiar	Intransitivo
29304	cambiar	Intransitivo
98029	cambiar	Intransitivo
70920	cambiar	Intransitivo
32384	cambiar	Intransitivo
8762	cambiar	Intransitivo
84704	cambiar	Intransitivo
3299	cambiar	Intransitivo
57442	cambiar	Intransitivo
66453	cambiar	Intransitivo
79008	cambiar	Intransitivo
7078	cambiar	Intransitivo
38191	cambiar	Intransitivo
91839	cambiar	Intransitivo
14623	cambiar	Intransitivo
32382	cambiar	Intransitivo
75061	cambiar	Intransitivo
2085	cambiar	Intransitivo
24435	cambiar	Intransitivo
158	coagular	Intransitivo
792	coagular	Intransitivo
656	coagular	Intransitivo
786	coagular	Intransitivo
309	coagular	Intransitivo
71	coagular	Intransitivo
520	coagular	Intransitivo
441	coagular	Intransitivo
885	coagular	Intransitivo
603	coagular	Intransitivo
572	coagular	Intransitivo
325	coagular	Intransitivo
310	coagular	Intransitivo
766	coagular	Intransitivo
843	coagular	Intransitivo
369	coagular	Intransitivo
486	coagular	Intransitivo
433	coagular	Intransitivo
851	coagular	Intransitivo
19	coagular	Intransitivo
63	coagular	Intransitivo
924	coagular	Intransitivo
619	coagular	Intransitivo
253	coagular	Intransitivo
471	coagular	Intransitivo
642	coagular	Intransitivo
176	coagular	Intransitivo
19152	cocer	Intransitivo
41737	cocer	Intransitivo
43085	cocer	Intransitivo
7023	cocer	Intransitivo
21201	cocer	Intransitivo
28080	cocer	Intransitivo
449	cocer	Intransitivo
1519	cocer	Intransitivo
29570	cocer	Intransitivo
38785	cocer	Intransitivo
11584	cocer	Intransitivo
29388	cocer	Intransitivo
9341	cocer	Intransitivo
4200	cocer	Intransitivo
33175	cocer	Intransitivo
39818	cocer	Intransitivo
22496	cocer	Intransitivo
16040	cocer	Intransitivo
30804	cocer	Intransitivo
228	cocer	Intransitivo
2460	cocer	Intransitivo
5867	cocer	Intransitivo
34448	cocer	Intransitivo
7100	cocer	Intransitivo
5400	cocer	Intransitivo
20315	cocer	Intransitivo
7009	cocer	Intransitivo
28986	cocer	Intransitivo
10052	cocer	Intransitivo
8299	colar	Intransitivo
28173	colar	Intransitivo
30655	colar	Intransitivo
9455	colar	Intransitivo
13850	colar	Intransitivo
23966	colar	Intransitivo
1694	colar	Intransitivo
8791	colar	Intransitivo
7941	colar	Intransitivo
10594	colar	Intransitivo
29920	colar	Intransitivo
17720	colar	Intransitivo
17226	colar	Intransitivo
32345	colar	Intransitivo
573	cuajar	Intransitivo
2815	cuajar	Intransitivo
7478	cuajar	Intransitivo
12028	cuajar	Intransitivo
6625	cuajar	Intransitivo
7751	cuajar	Intransitivo
10703	cuajar	Intransitivo
3380	cuajar	Intransitivo
7733	cuajar	Intransitivo
4745	cuajar	Intransitivo
7275	cuajar	Intransitivo
3075	cuajar	Intransitivo
1044	cuajar	Intransitivo
7865	cuajar	Intransitivo
12380	cuajar	Intransitivo
2121	cuajar	Intransitivo
11952	cuajar	Intransitivo
1701	cuajar	Intransitivo
2332	cuajar	Intransitivo
90	cuajar	Intransitivo
11010	cuajar	Intransitivo
3870	cuajar	Intransitivo
1479	cuajar	Intransitivo
4225	cuajar	Intransitivo
81	cuajar	Intransitivo
9397	cuajar	Intransitivo
11279	cuajar	Intransitivo
1093	cuajar	Intransitivo
3260	cuajar	Intransitivo
165	cuajar	Intransitivo
7689	cuajar	Intransitivo
6375	cuajar	Intransitivo
11642	cuajar	Intransitivo
11543	cuajar	Intransitivo
5022	cuajar	Intransitivo
4106	cuajar	Intransitivo
11281	cuajar	Intransitivo
3079	cuajar	Intransitivo
11259	cuajar	Intransitivo
3055	cuajar	Intransitivo
10795	cuajar	Intransitivo
8119	cuajar	Intransitivo
4683	cuajar	Intransitivo
1127	cuajar	Intransitivo
7822	cuajar	Intransitivo
5864	cuajar	Intransitivo
2119	cuajar	Intransitivo
3227	cuajar	Intransitivo
8205	cuajar	Intransitivo
10634	cuajar	Intransitivo
7614	cuajar	Intransitivo
2476	cuajar	Intransitivo
3346	cuajar	Intransitivo
7853	cuajar	Intransitivo
10172	cuajar	Intransitivo
6069	cuajar	Intransitivo
1043	cuajar	Intransitivo
2115	cuajar	Intransitivo
12256	cuajar	Intransitivo
6202	cuajar	Intransitivo
2556	cuajar	Intransitivo
7904	cuajar	Intransitivo
6288	cuajar	Intransitivo
468	cuajar	Intransitivo
7344	cuajar	Intransitivo
8140	cuajar	Intransitivo
3117	cuajar	Intransitivo
10050	cuajar	Intransitivo
9522	cuajar	Intransitivo
10286	cuajar	Intransitivo
10772	cuajar	Intransitivo
6700	cuajar	Intransitivo
9097	cuajar	Intransitivo
4572	cuajar	Intransitivo
4926	cuajar	Intransitivo
31674	curar	Intransitivo
11761	curar	Intransitivo
5925	curar	Intransitivo
22922	dar	Intransitivo
40008	desaparecer	Intransitivo
13591	desaparecer	Intransitivo
84647	desaparecer	Intransitivo
39745	desaparecer	Intransitivo
78375	desaparecer	Intransitivo
4263	desaparecer	Intransitivo
12280	desaparecer	Intransitivo
48544	desaparecer	Intransitivo
15936	desaparecer	Intransitivo
68006	desaparecer	Intransitivo
22214	desaparecer	Intransitivo
7602	desaparecer	Intransitivo
26425	desaparecer	Intransitivo
29557	desaparecer	Intransitivo
197	desaparecer	Intransitivo
30436	desaparecer	Intransitivo
75680	desaparecer	Intransitivo
80870	desaparecer	Intransitivo
8495	desaparecer	Intransitivo
52791	desaparecer	Intransitivo
87725	desaparecer	Intransitivo
47922	desaparecer	Intransitivo
93392	desaparecer	Intransitivo
62824	desaparecer	Intransitivo
56482	desaparecer	Intransitivo
68538	desaparecer	Intransitivo
56995	desaparecer	Intransitivo
29430	desaparecer	Intransitivo
66083	desaparecer	Intransitivo
13755	desaparecer	Intransitivo
60309	desaparecer	Intransitivo
8752	desaparecer	Intransitivo
