Muestreo;Area_dialecta;COSERID;EjemploID;Tipo;Pron_reflexivo;Verbo;Tipo_semantico;Tipo_sintactico;Aspectualidades;Persona_verbal;Animacion_sujeto;Tiempo_verbal;Complemento_temporal;Exageracion_esfuerzo_extra;Otro_complemento;Tipo_complemento;Posicion_respevbo_complemento;Posicion_respverbo_temporal;Posicion_respotros_temporal;Foco
No_exhaustivo;Resto;1634;1634130;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;la_vida;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;1634;1634380;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;los_dias;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;1902;1902002;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;el_dia;;si;comitativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;1921;1921396;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;la_tarde;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;1921;1921399;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;la_tarde;;si;locativo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;1921;1921414;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;el_dia;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;1921;1921524;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_perfecto;noche;;no;;;antepuesto;;tiempo
No_exhaustivo;Resto;2001;2001229;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;2001;2001286;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;2pl;Humano;pasado_imperfecto;dos_horas;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2004;2004273;Verbo_se;No;pasar;NA;Transitivo_tiempo;Desnudo;1pl;Humano;infinitivo;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2004;2004275;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;infinitivo;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2206;2206062;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;presente;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2206;2206063;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;presente;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;2314;2314342;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;2506;2506720;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;condicional;;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;2512;2512197;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;presente;;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;2606;2606263;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;2606;2606458;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;;;si;gerundio;antepuesto_focal;pospuesto;;otro
Exhaustivo;Resto;2614;2614308;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;infinitivo;;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;310;3101031;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;;si;comitativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3203;3203139;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;si;locativo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;3203;3203252;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_imperfecto;;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3203;3203349;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;futuro;;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;3203;3203379;Verbo_se;No;pasar;NA;Transitivo_tiempo;Pronombre;2sg;Humano;presente;;;si;modo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;3203;3203387;Verbo_se;Si;pasar;NA;Transitivo_tiempo;Desnudo;1sg;Humano;presente;;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3214;3214093;Verbo_se;No;pasar;NA;Transitivo_tiempo;Desnudo;3pl;Humano;infinitivo;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;3214;3214132;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;presente;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;3426;3426139;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Inanimado;pasado_imperfecto;;;si;modo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3610;3610043;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;NA;Humano;gerundio;;;si;modo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3610;3610137;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_perfecto;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;3610;3610211;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3701;3701003;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;si;modo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;3706;3706180;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;3706;3706184;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;3706;3706221;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;si;modo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;3806;3806692;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;presente_perfecto;;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;4102;4102044;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;4128;4128051;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_perfecto;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;4214;4214375;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;4501;4501239;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;;si;gerundio;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;4501;4501312;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;4501;4501313;Verbo_se;No;pasar;NA;Transitivo_tiempo;Nulo;3sg;Humano;pasado_imperfecto;;;si;locativo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;4501;4501402;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;no;;;antepuesto;;tiempo
No_exhaustivo;Resto;4501;4501411;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;4504;4504127;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;infinitivo;;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;4504;4504199;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;4508;4508180;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;presente_perfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;4508;4508183;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;4508;4508184;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;NA;Humano;infinitivo;;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;4602;4602295;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;;no;;;antepuesto;;tiempo
Exhaustivo;Resto;1307;13070343;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_perfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1307;13070554;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;si;gerundio;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1307;13070690;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;1307;13070906;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;;;si;locativo;antepuesto;pospuesto;;tiempo
Exhaustivo;Resto;1307;13070915;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;si;modo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;1307;13071042;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;infinitivo;;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;1307;13071064;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;si;modo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1307;13071078;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_perfecto;;;si;locativo;antepuesto;pospuesto;;tiempo
Exhaustivo;Resto;1307;13071086;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;presente;;;no;;;antepuesto;;tiempo
Exhaustivo;Resto;4310;43100907;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;presente_perfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;3109;3109142;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo2017;Resto;3109;3109191;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;presente;;;no;;;pospuesto;;tiempo
No_exhaustivo2017;Resto;3109;3109192;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;presente;;;si;modo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;304;304004;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;304;304007;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;304;304008;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;;;no;;;pospuesto;;tiempo
No_exhaustivo2017;Resto;304;304074;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_imperfecto;;;si;modo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;1503;1503075;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;1838;1838027;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;presente;;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo2017;Resto;3002;3002043;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo2017;Resto;3002;3002108;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;presente_perfecto;;;no;;;antepuesto;;tiempo
No_exhaustivo2017;Resto;3002;3002188;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;presente_perfecto;;;si;comitativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo2017;Resto;3002;3002208;Verbo_se;No;pasar;NA;Transitivo_tiempo;Pronombre;1pl;Humano;pasado_perfectos_imple;;;interrumpido;;;;;interrumpido
Exhaustivo;Resto;211;211097;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;toda;si;gerundio;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;211;211333;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2pl;Humano;presente;;;si;locativo;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;214;214369;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;222;222039;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;;;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;716;716268;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_perfecto;;exagerado;si;final;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;716;716308;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;presente;;;si;final;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;922;922372;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;;si;modo;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;922;922476;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;;si;locativo;pospuesto;antepuesto;;
No_exhaustivo;Resto;934;934499;Verbo_se;Si;tirar;NA;Transitivo_tiempo;Desnudo;2sg;Humano;presente;;;no;;;pospuesto;;
Exhaustivo;Resto;1219;1219331;Verbo_se;Si;tirar;NA;Transitivo_tiempo;Desnudo;3pl;Humano;presente;;repeticion;si;modo;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;1414;1414186;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;presente_perfecto;;hasta;si;gerundio;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;1414;1414444;Verbo_se;Si;tirar;NA;Transitivo_tiempo;Desnudo;3sg;Humano;presente;;repeticion;si;gerundio;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;1603;1603053;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;pasado_imperfecto;;toda;si;modo;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;1634;1634398;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_imperfecto;;Interrumpido;si;final;pospuesto;antepuesto;;
Exhaustivo;Resto;1834;1834565;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;si;locativo;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;1834;1834700;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;si;locativo;pospuesto;pospuesto;pospuesto;
Exhaustivo;Resto;1907;1907148;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;no;;;pospuesto;;
No_exhaustivo;Resto;1921;1921180;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;;si;final;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;1921;1921194;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Impersonal;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;1921;1921195;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Impersonal;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;1921;1921421;Verbo_se;Si;tirar;NA;Transitivo_tiempo;Desnudo;2sg;Humano;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;1921;1921422;Verbo_se;Si;tirar;NA;Transitivo_tiempo;Desnudo;2sg;Humano;pasado_imperfecto;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;2001;2001302;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_imperfecto;;toda;si;locativo;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;2303;2303316;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;presente;;toda;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;2303;2303317;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;toda;si;locativo;antepuesto;pospuesto;;
No_exhaustivo;Resto;2321;2321059;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3pl;Humano;presente_perfecto;;cerca;si;modo;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;2321;2321065;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;exagerado;si;modo;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;2321;2321072;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;condicional;;;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;2321;2321073;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;;no;;;pospuesto;;
No_exhaustivo;Resto;2914;2914289;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Animal;pasado_imperfecto;;;si;gerundio;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;310;3100029;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;a_lo_mejor;si;gerundio;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;310;3100728;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_perfecto;;;si;modo;antepuesto;pospuesto;;
Exhaustivo;Resto;310;3100941;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Impersonal;presente;;exagerado;si;gerundio;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;3426;3426114;Verbo_se;Si;tirar;NA;Transitivo_tiempo;Desnudo;3sg;Humano;pasado_perfecto;;;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;4214;4214242;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;;;si;gerundio;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;4227;4227004;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1sg;Humano;presente;;toda;si;modo;pospuesto;pospuesto;antepuesto;
No_exhaustivo;Resto;4227;4227087;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Animal;pasado_imperfecto;;toda;si;gerundio;pospuesto;antepuesto;;
No_exhaustivo;Resto;4407;4407099;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;a_lo_mejor;si;locativo;pospuesto;pospuesto;pospuesto;
No_exhaustivo;Resto;4503;4503060;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;presente;;;no;;;pospuesto;;
No_exhaustivo;Resto;4503;4503106;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;presente;;si_no;no;;;pospuesto;;
Exhaustivo;Resto;2907;29070894;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_perfecto;;;no;;;pospuesto;;
Exhaustivo;Resto;2907;29071038;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;dislocado;no;;;antepuesto_focal;;
Exhaustivo;Resto;2907;29071039;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;dislocado;no;;;antepuesto_focal;;
Exhaustivo;Resto;4310;43100522;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;;a_lo_mejor;si;gerundio;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;4310;43100817;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Animal;presente;;;si;locativo;pospuesto;pospuesto;pospuesto;
Exhaustivo;Resto;4310;43100943;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;exagerado;si;locativo;pospuesto;pospuesto;antepuesto;
Exhaustivo;Resto;4310;43100945;Verbo_se;Si;tirar;NA;Transitivo_tiempo;SD;3sg;Humano;pasado_perfecto;;exagerado;si;locativo;pospuesto;pospuesto;antepuesto;
